text,label
"URGENT: Your bank account has been FROZEN! Click http://hdfc-secure-login.tk to verify now or lose access!",phishing
"Your OTP is 834921. Do not share with anyone. Valid for 10 minutes.",safe
"Congratulations! You've WON Rs.50,000 in our lucky draw! Claim IMMEDIATELY at http://prizeclaim99.xyz",phishing
"Hi, your grocery order #4521 has been shipped and will arrive tomorrow between 2-4 PM.",safe
"ALERT: Suspicious login detected on your SBI account. Verify at http://sbi-verify.ml or your account will be suspended.",phishing
"Your electricity bill of Rs.1,245 is due on March 15. Pay online at mahadiscom.in",safe
"Dear Customer, your KYC is EXPIRING TODAY! Update immediately at http://paytm-kyc-update.net or account will be blocked!",phishing
"Amazon: Your package OUT FOR DELIVERY. Track: amzn.to/3xQ1234",safe
"FINAL NOTICE: Income Tax refund of Rs.9,800 pending. Provide bank details at http://incometax-refund.xyz NOW!",phishing
"Your Uber ride with Rahul is 3 minutes away. OTP: 2847",safe
"ICICI BANK: Unauthorized transaction of Rs.25,000 detected! Call 1800-XXX-XXXX immediately to cancel.",phishing
"Reminder: Your appointment with Dr. Sharma is scheduled for tomorrow at 10:30 AM.",safe
"FREE GIFT! You have been selected for iPhone 14 Pro. Click http://apple-free-gift.tk to claim in 2 hours!",phishing
"Your Swiggy order is being prepared. Estimated delivery: 35 minutes.",safe
"HDFC: Your credit card ending 4521 has been used at an unknown location. Verify at http://hdfc-fraud-check.in",phishing
"Dear Arjun, your EPF withdrawal of Rs.45,000 has been processed. Amount will credit in 3-5 working days.",safe
"URGENT: Aadhaar linked mobile will be DEACTIVATED. Update at http://aadhaar-mobile-link.xyz within 24 hrs!",phishing
"Your SIP investment of Rs.5,000 in Axis Mutual Fund has been placed successfully for March 2024.",safe
"Lucky Winner! Your mobile number won Rs.1.5 Lakh! Send your bank details to claim. Limited time offer!",phishing
"IRCTC: Your train ticket PNR 4521389076 is confirmed. Train 12345 departs at 14:30 from NZM.",safe
"Dear User, TRAI will BLOCK your SIM in 24 hours due to illegal activities. Call 9876XXXXXX immediately.",phishing
"Your Netflix subscription will renew on April 1 for Rs.649. Manage at netflix.com/account",safe
"Google Pay: Transaction of Rs.10,000 FAILED. Your UPI ID needs verification at http://gpay-verify.xyz",phishing
"Reminder from Jio: Your monthly plan expires in 3 days. Recharge at jio.com to continue services.",safe
"REWARD ALERT: Complete this survey and earn Rs.5,000 cash. Visit http://survey-earn-cash.com hurry!",phishing
"Your PhonePe transaction of Rs.250 to Zomato is successful. Ref: PP123456789",safe
"WARNING: Your PAN card has been linked to suspicious activity. Verify now at http://pan-verify-india.tk",phishing
"Flipkart: Your order for Samsung Galaxy Watch has been delivered. Rate your experience in the app.",safe
"BANK ALERT: Your account will be CLOSED in 48 hours. Provide OTP 847291 to prevent closure. Call now!",phishing
"Your electricity connection at Plot 45 will be temporarily disconnected for maintenance on Sunday 9AM-1PM.",safe
"Congratulations from PM Modi! You are selected for Rs.2 Lakh COVID relief fund. Apply: http://pmrelief.xyz",phishing
"Dear Customer, your loan EMI of Rs.12,500 has been deducted from your account ending 8821 on March 5.",safe
"SECURITY BREACH: 3 devices logged into your WhatsApp! Logout others at http://whatsapp-secure.net NOW!",phishing
"Ola: Your ride from Airport to Home is confirmed. Driver Suresh, MH02-AB-1234, will arrive in 8 mins.",safe
"FINAL OPPORTUNITY: Investment scheme with 50% guaranteed returns! Limited slots. Register http://invest-sure.xyz",phishing
"Your HDFC Regalia credit card statement for February is ready. Total due: Rs.8,450. Pay by March 5.",safe
"ALERT! Virus detected on your phone! Download security app immediately at http://mobile-protect.xyz",phishing
"BookMyShow: Your tickets for RRR at PVR Andheri (2 tickets) are confirmed. Show: March 25, 3:00 PM",safe
"Income Tax Department: NOTICE! Your return has discrepancies. Click http://itr-notice.xyz to respond in 24 hrs or face PENALTY",phishing
"Your Zepto order of 8 items will be delivered in 14 minutes. Track in app.",safe
"SBI YONO: Your account has been temporarily LOCKED due to multiple failed login attempts. Unlock at http://sbi-unlock.xyz",phishing
"Reminder: Your car service appointment at Maruti Suzuki is tomorrow at 11 AM. Contact 98XXX for reschedule.",safe
"URGENT KYC UPDATE for CIBIL score! Your credit score will drop to 0 if not updated at http://cibil-update.xyz in 24 hours!",phishing
"Your Groww SIP of Rs.2,000 in Mirae Asset Large Cap has been debited successfully on March 10.",safe
"You have a pending refund of Rs.4,200 from IRCTC. Claim at http://irctc-refund-claim.xyz with your bank details!",phishing
"Myntra: Your exchange request has been approved. Pickup scheduled for March 20. Keep order ready.",safe
"POLICE NOTICE: Cybercrime case filed against your number! Settle online payment at http://cybercrime-settle.xyz",phishing
"RBL Bank: Your FD of Rs.1,00,000 has matured. Renewal done automatically at 6.5% p.a. for 1 year.",safe
"FREE RECHARGE! Share this link with 10 friends to get Rs.200 free Jio recharge: http://jio-offer-free.xyz",phishing
"Your Airtel broadband bill of Rs.999 for the month of March has been generated. Due date: March 25.",safe
"HDFC ERGO: Your motor insurance policy will expire in 7 days. Renew online at hdfcergo.com or call us.",safe
"MASSIVE SALE: 90% off on all products! Shop now at http://amazon-offer-99.xyz - only 2 hours left!!",phishing
"Dear Investor, your demat account at Zerodha shows a capital gain of Rs.15,320 for FY2023-24.",safe
"YOUR PHONE NUMBER WON FACEBOOK LOTTERY! Claim $5000 at http://facebook-lottery.xyz send details now!",phishing
"Razorpay: Payment of Rs.1,299 received from customer. Amount will be settled in T+2 days.",safe
"BANK MERGER NOTICE: Your account needs re-KYC. Complete at http://bank-rekyc-india.xyz or account will close!",phishing
"Your Google One storage plan of 100GB renewed successfully. Next renewal: April 2025. Manage at one.google.com",safe
"ATTENTION: Your Aadhar number used for illegal purpose. Police complaint registered. Pay Rs.5000 to settle.",phishing
"Swiggy Instamart: Your order of 12 items delivered! Rate your experience to help us improve.",safe
"PART TIME JOB ALERT: Earn Rs.15,000 daily working 2 hours from home! Register at http://work-earn-online.xyz",phishing
"Your ICICI Lombard health insurance claim of Rs.45,000 has been approved. Amount credited to your account.",safe
